scope,dataset,system,system_display,input_rows,successful_rows,failed_rows,provider_failure_examples,answer_calls_total,answer_calls_per_input_example,input_tokens_per_example,output_tokens_per_example,total_tokens_per_example,cost_total_usd,usd_per_example,cost_coverage,latency_median_ms,latency_p95_ms,latency_available_successful_examples,latency_denominator_successful_examples,status_counts,missingness
by_dataset,financebench,direct,Direct,50,50,0,0,50,1.0,734.72,25.38,760.1,0.014051367,0.00028102734,1.0,886.2206255034835,1859.7490935968376,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,financebench,cot,CoT/PoT,50,50,0,0,50,1.0,750.72,241.24,991.96,0.041001642,0.0008200328400000001,1.0,1896.6404579987284,4595.0966562541,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,financebench,nexus,Static Nexus,50,50,0,0,50,1.0,1959.58,125.7,2085.28,0.044655138000000004,0.00089310276,1.0,1278.6775835011213,3515.1585999992635,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,financebench,react,ReAct,50,50,0,0,169,3.38,3096.58,418.14,3514.72,0.096635781,0.00193271562,1.0,4396.577083502052,8801.458408049073,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,financebench,selective,Selective Nexus,50,50,0,0,155,3.1,2666.26,389.68,3055.94,0.087816861,0.00175633722,1.0,4304.922062499827,9971.24722454682,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 0}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finder,direct,Direct,50,50,0,0,50,1.0,762.94,41.44,804.38,0.016457859,0.00032915718,1.0,914.090500002203,1850.2814062474492,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finder,cot,CoT/PoT,50,50,0,0,50,1.0,778.94,366.48,1145.42,0.056919159,0.00113838318,1.0,2894.988354499219,6215.481843899033,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finder,nexus,Static Nexus,50,50,0,0,50,1.0,2080.96,179.82,2260.78,0.053154981,0.00106309962,1.0,1517.6981459990202,3790.9072417038246,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finder,react,ReAct,50,50,0,0,143,2.86,1988.7,503.5,2492.2,0.09184032,0.0018368064,1.0,5125.317540991091,8909.00497395123,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finder,selective,Selective Nexus,50,50,0,0,144,2.88,2092.84,492.72,2585.56,0.092052774,0.0018410554800000001,1.0,5285.385374991165,7776.861016409747,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 0}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
